source,company,programme_name,programme_type,description,duration,mode,eligibility,branch_required,cgpa_required,gender,stipend_or_benefits,deadline,apply_link,how_to_apply
isro,ISRO,ISRO Yuva Vigyan Vaigyanik (YUVIKA) Programme,Research Mentorship,Annual 2-week residential programme for Class 9 students — hands-on mentorship by ISRO scientists.,2 weeks,In-Person,Class 9 students (school level),Science,Not mentioned,All,Free residential programme,Check isro.gov.in,https://www.isro.gov.in/Students.html,Go to isro.gov.in/Students.html → Click 'YUVIKA' → Register on the YUVIKA portal during open window (usually Jan-Feb) → Submit application with school documents.
isro,ISRO,ISRO Student Project Trainee Mentorship,Research Mentorship,Students work under ISRO scientists on live projects. Direct mentorship from space scientists.,45 days minimum,In-Person,B.E./B.Tech 6th semester or above; min 60% / 6.32 CGPA,"Electronics, Computer Science, Mechanical, Electrical",6.32,All,Certificate from ISRO + research experience,Check individual ISRO centre websites,https://www.isro.gov.in/InternshipAndProjects.html,"Go to isro.gov.in/InternshipAndProjects.html → Read eligibility → Visit individual ISRO centre websites (VSSC, SAC, URSC etc.) → Apply directly to centre with college NOC + resume."
drdo,DRDO,DRDO Research Mentorship / Apprenticeship,Defence Research Mentorship,Students work under DRDO scientists on defence research projects. Mentorship from senior researchers.,1–6 months,In-Person,UG/PG students in Engineering or Science,"Electronics, Computer Science, Mechanical, Electrical, Chemical",Not mentioned,All,Certificate + defence research exposure,Check drdo.gov.in,https://www.drdo.gov.in/internship-scheme,Go to drdo.gov.in/internship-scheme → Read eligibility → Contact specific DRDO lab directly with application + college NOC + resume. No central portal — apply to labs individually.
niti_aayog,NITI Aayog,NITI Aayog Young Professional Mentorship,Policy Mentorship,Policy mentorship where students work with NITI Aayog officers on national development projects.,2–6 months,In-Person / Hybrid,UG/PG/PhD students from recognized institutions,All,Not mentioned,All,Stipend + NITI Aayog certificate,Check niti.gov.in,https://www.niti.gov.in/internship,Go to niti.gov.in/internship → Click 'Apply' → Fill the online form with academic details → Upload resume and NOC → Submit during open window.
reserve_bank_of_india_rbi,Reserve Bank of India (RBI),RBI Young Scholars Mentorship,Finance Mentorship,Mentorship embedded in RBI Summer Internship — students learn monetary policy and financial systems directly.,2 months,In-Person,"Undergraduate students in Economics, Finance, Statistics","Finance, Economics, Mathematics, Statistics",Not mentioned,All,Stipend + RBI experience certificate,Check opportunities.rbi.org.in,https://opportunities.rbi.org.in/Scripts/Internships.aspx,Go to opportunities.rbi.org.in/Scripts/Internships.aspx → Click 'Apply Online' → Register with email → Fill application form → Upload documents → Submit.
aicte,AICTE,AICTE Mentor-Mentee Scheme (Margdarshan),Institutional Mentorship,AICTE scheme pairing weaker engineering institutions with mentor institutions for academic improvement.,Ongoing,Hybrid,Students from AICTE-approved institutions,All,Not mentioned,All,"Institutional resources, industry exposure",Check aicte-india.org,https://www.aicte-india.org/,Go to aicte-india.org → Search 'Margdarshan' or 'Mentor Scheme' → Your institution registers — individual student access via college TPO.
aicte,AICTE,Pragati Scholarship cum Mentorship (Girls),Women Scholarship + Mentorship,Scholarship and mentorship for female students in technical education from economically weaker families.,Academic year,Hybrid,Female students in AICTE-approved technical programs from EWS,All technical branches,Not mentioned,Girls Only / Women,"INR 50,000/year scholarship",Check aicte-india.org/pragati,https://www.aicte-india.org/bureaus/rifd/pragati,Go to aicte-india.org/bureaus/rifd/pragati → Click 'Apply' → Register as student → Fill income/academic details → Submit before deadline (usually Sep-Oct).
isro,ISRO,ISRO Student Programmes,Mentorship,Students Accessibility Tools × Contrast + Invert Colors Light Contrast Dark Contrast Desaturate Bigger Font Font large Font x-large Font xx-large Cursor Big Cursor Reading Mask Reading Ruler Highlight Link Highlight Link Text Spacing Light Space Medium Space Heavy Space Friendly Font Dyslexia Font L,Not mentioned,Online / Virtual,Not mentioned,Not mentioned,Not mentioned,All,Not mentioned,Not mentioned,https://www.isro.gov.in/Students.html,Visit the link and look for mentorship/student programmes section.
niti_aayog,NITI Aayog,NITI Aayog Student Programmes,Mentorship,"NITI AAYOG, India National Portal Of India भारत का राष्ट्रीय पोर्टल English हिंदी Thai Sitemap साइटमैप Skip to Main Content सीधे मुख्य विषय-सूची पर जाएं - A A + A Welcome Anonymous ( Sign out ) Main navigation About Us Objectives And Features Allocation of Business Rules Amendment on Allocation of B",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,All,Not mentioned,Not mentioned,https://www.niti.gov.in/internship,Visit the link and look for mentorship/student programmes section.
rbi,RBI,RBI Student Programmes,Mentorship,"Error Occured, Please try again later!",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,All,Not mentioned,Not mentioned,https://opportunities.rbi.org.in/Scripts/Internships.aspx,Visit the link and look for mentorship/student programmes section.
